Luxembourg,49.369999,6.080000,COUNTRY
Madagascar,-18.520000,47.299999,COUNTRY
Malawi,-13.580000,33.490002,COUNTRY
Malaysia,3.346667,103.258331,COUNTRY
Maldives,4.000000,73.279999,COUNTRY
Mali,14.440000,-5.295000,COUNTRY
Malta,35.540001,14.320000,COUNTRY
Marshall Islands,7.050000,171.080002,COUNTRY
Martinique,14.360000,-61.049999,COUNTRY
Mauritania,18.090000,-15.580000,COUNTRY
Mauritius,-20.100000,57.299999,COUNTRY
Mayotte,-12.470000,45.139999,COUNTRY
Mexico,23.896000,-104.288002,COUNTRY
Micronesia,0.000000,6.580000,COUNTRY
Moldova,47.000000,28.500000,COUNTRY
Monaco,43.450001,7.230000,COUNTRY
Mongolia,47.540001,106.519997,COUNTRY
Montenegro,42.279999,19.170000,COUNTRY
Montserrat,16.440001,-62.139999,COUNTRY
Morocco,31.629999,-8.315000,COUNTRY
Mozambique,-22.535000,33.434998,COUNTRY
Myanmar (Burma),19.020000,96.070000,COUNTRY
Namibia,-24.360001,16.080000,COUNTRY
Nepal,27.420000,85.190002,COUNTRY
Netherlands,52.209999,4.540000,COUNTRY
New Caledonia,-22.160000,166.259995,COUNTRY
New Zealand,-40.649998,173.360001,COUNTRY
Nicaragua,12.060000,-86.180000,COUNTRY
Niger,13.320000,2.050000,COUNTRY
Nigeria,9.123333,6.220000,COUNTRY
Niue,-19.010000,169.550003,COUNTRY
Norfolk Island,-29.040001,167.570007,COUNTRY
North Korea,39.000000,125.470001,COUNTRY
Norway,68.834999,12.925000,COUNTRY
Oman,20.184999,56.210003,COUNTRY
Pakistan,28.955002,70.049995,COUNTRY
Palau Islands,7.210000,134.309998,COUNTRY
Panama,8.580000,-79.320000,COUNTRY
Papua New Guinea,-9.300000,147.070007,COUNTRY
Paraguay,-25.160000,-57.400002,COUNTRY
Peru,-10.596667,-73.826668,COUNTRY
Philippines,14.350000,120.589996,COUNTRY
Pitcairn Islands,-25.040001,-130.050003,COUNTRY
Poland,53.190002,19.700001,COUNTRY
Portugal,38.439999,-9.080000,COUNTRY
PRC,35.813335,110.370003,COUNTRY
Puerto Rico,18.280001,-66.070000,COUNTRY
Qatar,25.150000,51.360001,COUNTRY
Republic of China,25.049999,121.320000,COUNTRY
Republic of Congo,4.140000,15.140000,COUNTRY
Republic of Macedonia,42.000000,21.280001,COUNTRY
Romania,44.259998,26.059999,COUNTRY
Runion,-20.520000,55.270000,COUNTRY
Russia,51.623333,70.786667,COUNTRY
Rwanda,-1.560000,30.040001,COUNTRY
Saint Helena,-15.560000,-5.440000,COUNTRY
Saint Kitts and Nevis,17.180000,-62.430000,COUNTRY
Saint Lucia,14.010000,-60.590000,COUNTRY
Saint Vincent and the Grenadines,13.120000,-61.139999,COUNTRY
Saint-Pierre and Miquelon,46.459999,-56.110001,COUNTRY
Samoa (Western Samoa),-13.480000,-171.449997,COUNTRY
San Marino,43.560001,12.260000,COUNTRY
Saudi Arabia,24.389999,46.459999,COUNTRY
Scotland,55.529999,-4.150000,COUNTRY
Senegal,14.400000,-17.260000,COUNTRY
Serbia,44.500000,20.299999,COUNTRY
Seychelles,-4.380000,55.279999,COUNTRY
Sierra Leone,8.300000,-13.150000,COUNTRY
Singapore,1.180000,103.500000,COUNTRY
Slovakia,48.099998,17.100000,COUNTRY
Slovenia,46.040001,14.300000,COUNTRY
So Tom and Prncipe,0.190000,6.430000,COUNTRY
Solomon Islands,-9.280000,159.570007,COUNTRY
Somalia,2.020000,45.209999,COUNTRY
South Africa,-30.165001,24.809999,COUNTRY
South Korea,37.320000,127.000000,COUNTRY
Spain,40.735001,-0.650000,COUNTRY
Sri Lanka,6.550000,79.519997,COUNTRY
Sudan,15.360000,32.320000,COUNTRY
Suriname,5.500000,-55.099998,COUNTRY
Swaziland,-26.200001,31.080000,COUNTRY
Sweden,59.200001,18.030001,COUNTRY
Switzerland,46.895000,7.800000,COUNTRY
Syria,33.299999,36.180000,COUNTRY
Tajikistan,38.380001,68.510002,COUNTRY
Tanzania,-7.536667,39.263332,COUNTRY
Thailand,13.440000,100.300003,COUNTRY
Togo,6.080000,1.130000,COUNTRY
Tonga,-21.090000,-175.139999,COUNTRY
Trinidad and Tobago,10.380000,-61.310001,COUNTRY
Tunisia,35.459999,10.285000,COUNTRY
Turkey,40.520000,33.503334,COUNTRY
Turkmenistan,37.580002,58.240002,COUNTRY
Tuvalu,-8.310000,179.130005,COUNTRY
U.S. Virgin Islands,18.219999,-64.559998,COUNTRY
Uganda,0.190000,35.250000,COUNTRY
Ukraine,50.250000,30.430000,COUNTRY
United Arab Emirates,24.719999,54.710003,COUNTRY
United States,33.324001,-106.450005,COUNTRY
Uruguay,-34.529999,-56.110001,COUNTRY
Uzbekistan,41.160000,69.129997,COUNTRY
Vanuatu,-17.450001,168.179993,COUNTRY
Venezuela,9.270000,-68.820000,COUNTRY
Vietnam,15.735000,105.974998,COUNTRY
Wallis and Futuna,-13.220000,-176.119995,COUNTRY
Yemen,15.240000,44.139999,COUNTRY
Zambia,-7.110000,31.160000,COUNTRY
Zimbabwe,-17.500000,31.299999,COUNTRY
